Designator,Comment,Description,Fitted,Footprint,LibRef,Quantity

"C1","B32774","Capacitor","Fitted","B32774 5uF 800V","Cap","1"
"C2, C3","560uF","WCAP-AIL8 Aluminum Electrolytic Capacitors, 560uF","Fitted","WCAP-AIL8_35x47","WCAP-AIL8, 861101486027","2"
"C4, C5, C6, C7, C11, C12, C13, C14, C16, C17","Capacitor","","Fitted","2220C, 1812C, 2220C, 1812C, 2220C, 1812C, 2220C, 1812C, Cap_multi_footprint, Cap_multi_footprint","Capacitor","10"
"C8, C9, C10","270uF","WCAP-AIL8 Aluminum Electrolytic Capacitors, 270uF","Not Fitted","WCAP-AIL8_25x46","WCAP-AIL8, 861101484015","0"
"C15","B32774","Capacitor","Not Fitted","B32774 5uF 800V","Cap","0"
"D1, D3","60V 2A","SS26 Schottky rectifier","Fitted","DO-214AA_(SMB-J-BEND)_UNI","SS26","2"
"D2, D4","600 W, 24 VDC","WE-TVSP Power TVS Diode, bidirectional, 600 W, 24 VDC","Fitted","DO-214AA_Bidirectional","WE-TVSP DO-214AA, 824521241","2"
"D5, D7","60V 2A","SS26 Schottky rectifier","Not Fitted","DO-214AA_(SMB-J-BEND)_UNI","SS26","0"
"D6, D8","600 W, 24 VDC","WE-TVSP Power TVS Diode, bidirectional, 600 W, 24 VDC","Not Fitted","DO-214AA_Bidirectional","WE-TVSP DO-214AA, 824521241","0"
"HS1, HS2","SK481_37.5mm HS","","Fitted","SK 481 37.5, SK 481 37.5_FLIP","SK_481_37.5","2"
"J1","61202021621","WR-BHD 2.54mm Male Box Header","Fitted","61202021621","61202021621","1"
"L1, L2","32O","WE-CBF SMD EMI Suppression Ferrite Bead, 1206, 32O","Fitted","WE-CBF_1206_High Speed","WE-CBF, 7427921","2"
"L3, L4","32O","WE-CBF SMD EMI Suppression Ferrite Bead, 1206, 32O","Not Fitted","WE-CBF_1206_High Speed","WE-CBF, 7427921","0"
"Q1, Q2","","IGBT, TO-247, Vertical","Fitted","TO-247","TO-247_IGBT_V","2"
"Q3, Q4","","IGBT, TO-247, Vertical","Not Fitted","TO-247","TO-247_IGBT_V","0"
"R3, R4, R7, R8","Res2","Resistor","Fitted","RES_2512","Res2","4"
"R11, R12, R16, R17","Res2","Resistor","Not Fitted","RES_2512","Res2","0"
"TX1","56050C 50:1 CT","Murata 56050C 10A 50:1 CT","Fitted","KMP_5600_ALT","56050C_ALT","1"
